No.,Date,Time,Header,Data,Unit
1,2016-07-26,11:16:11,ST,+00001.47,  g
2,2016-07-26,11:17:11,ST,+00001.99,  g
3,2016-07-26,11:18:11,ST,+00002.51,  g
4,2016-07-26,11:19:11,ST,+00003.03,  g
5,2016-07-26,11:20:11,ST,+00003.64,  g
6,2016-07-26,11:21:11,ST,+00004.16,  g
7,2016-07-26,11:22:11,ST,+00004.69,  g
8,2016-07-26,11:23:11,ST,+00005.30,  g
9,2016-07-26,11:24:11,ST,+00005.82,  g
10,2016-07-26,11:25:11,US,+00006.39,  g
11,2016-07-26,11:26:11,ST,+00006.94,  g
12,2016-07-26,11:27:11,ST,+00007.46,  g
13,2016-07-26,11:28:11,ST,+00008.07,  g
14,2016-07-26,11:29:11,ST,+00008.59,  g
15,2016-07-26,11:30:11,ST,+00009.20,  g
16,2016-07-26,11:31:11,ST,+00009.73,  g
17,2016-07-26,11:32:11,ST,+00010.33,  g
18,2016-07-26,11:33:11,ST,+00010.86,  g
19,2016-07-26,11:34:11,ST,+00011.47,  g
20,2016-07-26,11:35:11,ST,+00011.99,  g
21,2016-07-26,11:36:11,ST,+00012.60,  g
22,2016-07-26,11:37:11,ST,+00013.12,  g
23,2016-07-26,11:38:11,ST,+00013.73,  g
24,2016-07-26,11:39:11,ST,+00014.26,  g
25,2016-07-26,11:40:11,ST,+00014.87,  g
26,2016-07-26,11:41:11,ST,+00015.39,  g
27,2016-07-26,11:42:11,ST,+00016.00,  g
28,2016-07-26,11:43:11,ST,+00016.52,  g
29,2016-07-26,11:44:11,ST,+00017.13,  g
30,2016-07-26,11:45:11,ST,+00017.66,  g
31,2016-07-26,11:46:11,ST,+00018.18,  g
32,2016-07-26,11:47:11,ST,+00018.70,  g
33,2016-07-26,11:48:11,ST,+00019.31,  g
34,2016-07-26,11:49:11,ST,+00019.84,  g
35,2016-07-26,11:50:11,ST,+00020.36,  g
36,2016-07-26,11:51:11,ST,+00020.88,  g
37,2016-07-26,11:52:11,ST,+00021.42,  g
38,2016-07-26,11:53:11,ST,+00022.02,  g
39,2016-07-26,11:54:11,ST,+00022.54,  g
40,2016-07-26,11:55:11,ST,+00023.06,  g
41,2016-07-26,11:56:11,ST,+00023.59,  g
42,2016-07-26,11:57:11,US,+00024.20,  g
43,2016-07-26,11:58:11,ST,+00024.72,  g
44,2016-07-26,11:59:11,ST,+00025.24,  g
45,2016-07-26,12:00:11,ST,+00025.76,  g
46,2016-07-26,12:01:11,ST,+00026.28,  g
47,2016-07-26,12:02:11,ST,+00026.90,  g
48,2016-07-26,12:03:11,ST,+00027.42,  g
49,2016-07-26,12:04:11,ST,+00027.94,  g
50,2016-07-26,12:05:11,ST,+00028.46,  g
51,2016-07-26,12:06:11,ST,+00028.99,  g
52,2016-07-26,12:07:11,ST,+00029.59,  g
53,2016-07-26,12:08:11,ST,+00030.12,  g
54,2016-07-26,12:09:11,ST,+00030.64,  g
55,2016-07-26,12:10:11,ST,+00031.16,  g
56,2016-07-26,12:11:11,ST,+00031.68,  g
57,2016-07-26,12:12:11,US,+00032.26,  g
58,2016-07-26,12:13:11,ST,+00032.81,  g
59,2016-07-26,12:14:11,ST,+00033.34,  g
60,2016-07-26,12:15:11,ST,+00033.86,  g
61,2016-07-26,12:16:11,ST,+00034.38,  g
62,2016-07-26,12:17:11,ST,+00034.90,  g
63,2016-07-26,12:18:11,ST,+00035.42,  g
64,2016-07-26,12:19:11,US,+00036.02,  g
65,2016-07-26,12:20:11,ST,+00036.55,  g
66,2016-07-26,12:21:11,ST,+00037.07,  g
67,2016-07-26,12:22:11,ST,+00037.59,  g
68,2016-07-26,12:23:11,ST,+00038.12,  g
69,2016-07-26,12:24:11,ST,+00038.63,  g
70,2016-07-26,12:25:11,ST,+00039.16,  g
71,2016-07-26,12:26:11,ST,+00039.68,  g
72,2016-07-26,12:27:11,ST,+00040.20,  g
73,2016-07-26,12:28:11,ST,+00040.72,  g
74,2016-07-26,12:29:11,ST,+00041.24,  g
75,2016-07-26,12:30:11,ST,+00041.76,  g
76,2016-07-26,12:31:11,ST,+00042.28,  g
77,2016-07-26,12:32:11,ST,+00042.81,  g
78,2016-07-26,12:33:11,ST,+00043.33,  g
79,2016-07-26,12:34:11,ST,+00043.85,  g
80,2016-07-26,12:35:11,ST,+00044.37,  g
81,2016-07-26,12:36:11,ST,+00044.89,  g
82,2016-07-26,12:37:11,ST,+00045.41,  g
83,2016-07-26,12:38:11,US,+00046.11,  g
84,2016-07-26,12:39:11,US,+00046.81,  g
85,2016-07-26,12:40:11,ST,+00047.51,  g
86,2016-07-26,12:41:11,ST,+00048.03,  g
87,2016-07-26,12:42:11,ST,+00048.55,  g
88,2016-07-26,12:43:11,ST,+00049.07,  g
89,2016-07-26,12:44:11,US,+00049.77,  g
90,2016-07-26,12:45:11,US,+00050.23,  g
91,2016-07-26,12:46:11,ST,+00050.72,  g
92,2016-07-26,12:47:11,ST,+00051.24,  g
93,2016-07-26,12:48:11,ST,+00051.76,  g
94,2016-07-26,12:49:11,ST,+00052.28,  g
95,2016-07-26,12:50:11,ST,+00052.89,  g
96,2016-07-26,12:51:11,ST,+00053.41,  g
97,2016-07-26,12:52:11,ST,+00053.93,  g
98,2016-07-26,12:53:11,ST,+00054.45,  g
99,2016-07-26,12:54:11,US,+00054.94,  g
100,2016-07-26,12:55:11,ST,+00055.40,  g
101,2016-07-26,12:56:11,ST,+00055.92,  g
102,2016-07-26,12:57:11,ST,+00056.44,  g
103,2016-07-26,12:58:11,ST,+00056.96,  g
104,2016-07-26,12:59:11,ST,+00057.49,  g
105,2016-07-26,13:00:11,US,+00057.95,  g
106,2016-07-26,13:01:11,ST,+00058.44,  g
107,2016-07-26,13:02:11,ST,+00058.96,  g
108,2016-07-26,13:03:11,ST,+00059.48,  g
109,2016-07-26,13:04:11,ST,+00060.00,  g
110,2016-07-26,13:05:11,ST,+00060.44,  g
111,2016-07-26,13:06:11,ST,+00060.96,  g
112,2016-07-26,13:07:11,ST,+00061.48,  g
113,2016-07-26,13:08:11,ST,+00062.00,  g
114,2016-07-26,13:09:11,ST,+00062.43,  g
115,2016-07-26,13:10:11,ST,+00062.95,  g
116,2016-07-26,13:11:11,ST,+00063.47,  g
117,2016-07-26,13:12:11,ST,+00063.99,  g
118,2016-07-26,13:13:11,ST,+00064.43,  g
119,2016-07-26,13:14:11,ST,+00064.95,  g
120,2016-07-26,13:15:11,ST,+00065.47,  g
121,2016-07-26,13:16:11,ST,+00065.90,  g
122,2016-07-26,13:17:11,ST,+00066.42,  g
123,2016-07-26,13:18:11,ST,+00066.94,  g
124,2016-07-26,13:19:11,ST,+00067.46,  g
125,2016-07-26,13:20:11,ST,+00067.90,  g
126,2016-07-26,13:21:11,ST,+00068.41,  g
127,2016-07-26,13:22:11,ST,+00068.94,  g
128,2016-07-26,13:23:11,ST,+00069.37,  g
129,2016-07-26,13:24:11,ST,+00069.89,  g
130,2016-07-26,13:25:11,ST,+00070.41,  g
131,2016-07-26,13:26:11,ST,+00070.84,  g
132,2016-07-26,13:27:11,ST,+00071.36,  g
133,2016-07-26,13:28:11,ST,+00071.80,  g
134,2016-07-26,13:29:11,ST,+00072.32,  g
135,2016-07-26,13:30:11,ST,+00072.84,  g
136,2016-07-26,13:31:11,ST,+00073.27,  g
137,2016-07-26,13:32:11,ST,+00073.80,  g
138,2016-07-26,13:33:11,ST,+00074.23,  g
139,2016-07-26,13:34:11,ST,+00074.75,  g
140,2016-07-26,13:35:11,US,+00075.27,  g
141,2016-07-26,13:36:11,ST,+00075.70,  g
142,2016-07-26,13:37:11,ST,+00076.22,  g
143,2016-07-26,13:38:11,ST,+00076.66,  g
144,2016-07-26,13:39:11,ST,+00077.17,  g
145,2016-07-26,13:40:11,ST,+00077.61,  g
146,2016-07-26,13:41:11,ST,+00078.13,  g
147,2016-07-26,13:42:11,ST,+00078.56,  g
148,2016-07-26,13:43:11,ST,+00079.08,  g
149,2016-07-26,13:44:11,ST,+00079.51,  g
150,2016-07-26,13:45:11,ST,+00080.03,  g
151,2016-07-26,13:46:11,ST,+00080.47,  g
152,2016-07-26,13:47:11,ST,+00080.99,  g
153,2016-07-26,13:48:11,ST,+00081.42,  g
154,2016-07-26,13:49:11,ST,+00081.94,  g
155,2016-07-26,13:50:11,ST,+00082.37,  g
156,2016-07-26,13:51:11,ST,+00082.89,  g
157,2016-07-26,13:52:11,ST,+00083.32,  g
158,2016-07-26,13:53:11,ST,+00083.84,  g
159,2016-07-26,13:54:11,ST,+00084.27,  g
160,2016-07-26,13:55:11,US,+00084.80,  g
161,2016-07-26,13:56:11,ST,+00085.23,  g
162,2016-07-26,13:57:11,ST,+00085.66,  g
163,2016-07-26,13:58:11,ST,+00086.18,  g
164,2016-07-26,13:59:11,ST,+00086.61,  g
165,2016-07-26,14:00:11,ST,+00087.13,  g
166,2016-07-26,14:01:11,ST,+00087.56,  g
167,2016-07-26,14:02:11,ST,+00088.00,  g
168,2016-07-26,14:03:11,ST,+00088.51,  g
169,2016-07-26,14:04:11,ST,+00088.95,  g
170,2016-07-26,14:05:11,ST,+00089.47,  g
171,2016-07-26,14:06:11,ST,+00089.90,  g
172,2016-07-26,14:07:11,ST,+00090.33,  g
173,2016-07-26,14:08:11,ST,+00090.85,  g
174,2016-07-26,14:09:11,ST,+00091.37,  g
175,2016-07-26,14:10:11,ST,+00091.80,  g
176,2016-07-26,14:11:11,ST,+00092.23,  g
177,2016-07-26,14:12:11,US,+00092.76,  g
178,2016-07-26,14:13:11,ST,+00093.18,  g
179,2016-07-26,14:14:11,ST,+00093.62,  g
180,2016-07-26,14:15:11,US,+00094.08,  g
181,2016-07-26,14:16:11,ST,+00094.57,  g
182,2016-07-26,14:17:11,ST,+00095.00,  g
183,2016-07-26,14:18:11,ST,+00095.43,  g
184,2016-07-26,14:19:11,ST,+00095.95,  g
185,2016-07-26,14:20:11,ST,+00096.38,  g
186,2016-07-26,14:21:11,ST,+00096.81,  g
187,2016-07-26,14:22:11,ST,+00097.33,  g
188,2016-07-26,14:23:11,ST,+00097.76,  g
189,2016-07-26,14:24:11,ST,+00098.19,  g
190,2016-07-26,14:25:11,ST,+00098.63,  g
191,2016-07-26,14:26:11,ST,+00099.14,  g
192,2016-07-26,14:27:11,ST,+00099.57,  g
193,2016-07-26,14:28:11,ST,+00100.00,  g
194,2016-07-26,14:29:11,ST,+00100.44,  g
195,2016-07-26,14:30:11,ST,+00100.96,  g
196,2016-07-26,14:31:11,ST,+00101.39,  g
197,2016-07-26,14:32:11,ST,+00101.82,  g
